VISIT_AREA_ID,TRAVEL_ID,VISIT_ORDER,VISIT_AREA_NM,VISIT_START_YMD,VISIT_END_YMD,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD,ROAD_NM_CD,LOTNO_CD,POI_ID,POI_NM,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,VISIT_CHC_REASON_CD,LODGING_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SGG_CD
2307260001,e_e005633,1,집,2023-07-26,2023-07-26,경상국립대학교 학생생활관,경남 진주시 가좌동 900,,,2332003,4817013100,,,,21,,,,,,,
2307260002,e_e005633,2,개양 고속버스정류장,2023-07-26,2023-07-26,경남 진주시 가좌길74번길 10-1,경남 진주시 가좌동 1398,128.1092155,35.1594358,,,POI01000000EBPSXZ,개양고속버스정류장,30,9,Y,6,,5,4,3,
2307260003,e_e005633,3,짱꼬집,2023-07-26,2023-07-26,서울 송파구 백제고분로7길 56,서울 송파구 잠실동 185-12,127.084965,37.5106723,,,POI02000TR004750V,짱꼬집,30,4,N,2,,4,5,5,
2307260004,e_e005633,4,도그존,2023-07-26,2023-07-26,서울 송파구 올림픽로12길 28,서울 송파구 잠실동 204-8,127.0832441,37.5091166,,,POI02000TR004751V,도그존,150,4,N,7,,4,3,4,
2307260005,e_e005633,5,잠실한강공원,2023-07-26,2023-07-26,,서울 송파구 잠실동 1-1,127.0823578,37.5177993,,,POI01000TR005858V,잠실한강공원,90,7,N,1,,5,4,5,
2307260006,e_e005633,6,호텔 6월,2023-07-26,2023-07-27,서울 강동구 올림픽로72길 19-4,서울 강동구 천호동 427-39,127.1252156,37.5396019,,,POI010000006KWO06,6월호텔,150,24,N,8,2,2,1,2,
2307270001,e_e005633,7,롯데월드,2023-07-27,2023-07-27,서울 송파구 올림픽로 240,서울 송파구 잠실동 40-1,127.0981198,37.5111306,,,POI01000TR002312V,롯데월드,420,6,Y,1,,4,4,3,
2307270002,e_e005633,9,호텔 6월,2023-07-27,2023-07-28,서울 강동구 올림픽로72길 19-4,서울 강동구 천호동 427-39,127.1252156,37.5396019,,,POI010000006KWO06,6월호텔,120,24,Y,8,2,1,1,2,
2307270003,e_e005633,8,이성원 셰프의 청년 감자탕 순댓국 방이동 본점,2023-07-27,2023-07-27,서울 송파구 오금로19길 5,서울 송파구 방이동 110-12,127.1133528,37.5102943,,,POI02000TR004752V,이성원쉐프의청년감자탕순대국 방이동 본점,60,11,N,2,,5,5,5,
2307280001,e_e005633,10,쉐이크쉑 잠실점,2023-07-28,2023-07-28,서울 송파구 올림픽로 269,서울 송파구 신천동 7-18,127.1006013,37.5144262,,,POI02000TR004753V,쉐이크쉑 잠실점,30,11,N,1,,4,3,3,
2307280002,e_e005633,11,롯데월드타워 롯데월드몰,2023-07-28,2023-07-28,서울 송파구 올림픽로 300,서울 송파구 신천동 29,127.1040795,37.5136519,,,POI01000TR025722V,디라이프 스타일키친 잠실 롯데월드몰점,30,9,N,8,,5,5,5,
2307280003,e_e005633,12,한성백제 박물관,2023-07-28,2023-07-28,서울 송파구 위례성대로 71,서울 송파구 방이동 88-20,127.120895,37.5154127,,,POI01000000BG0BB9,레드캡렌터카 제주지점,30,2,N,10,,4,3,4,
2307280004,e_e005633,14,경상 국립대학교 학생생활관,2023-07-28,2023-07-29,경남 진주시 진주대로 501,경남 진주시 가좌동 산 182-1,128.1000082,35.157692,,,POI02000TR004754V,경상국립대학교 학생생활관,90,21,,,,,,,
2307280005,e_e005633,13,송다찌동,2023-07-28,2023-07-28,대구 동구 동대구로 550,대구 동구 신암동 294,128.628777,35.8794377,,,POI01000000ES89J2,송다찌동,30,11,N,9,,3,3,3,
2304290001,f_f000011,1,집,2023-04-29,2023-04-29,경기 용인시 기흥구 강남서로98번길 3-8,경기 용인시 기흥구 구갈동 545-3,,,4412024,4146310200,,,,21,,,,,,,
2304290002,f_f000011,5,오산리 선사유적박물관 주차장,2023-04-29,2023-04-30,강원 양양군 손양면 학포길 33,강원 양양군 손양면 오산리 51,128.6602672,38.086312,,,POI02001TR021671V,오산리 선사유적박물관주차장,150,24,N,9,12,3,3,3,
2304290003,f_f000011,4,장터 순댓국 본점,2023-04-29,2023-04-29,강원 속초시 중앙로129번길 35-16,강원 속초시 금호동 492-17,128.5891508,38.2044819,,,POI01000TR034622V,본점장터순대국,30,11,Y,4,,5,5,5,
2304290004,f_f000011,3,진짜 감자전,2023-04-29,2023-04-29,중앙로 147번길 16 속초중앙시장 내 길거리 감자전,,128.5901784,38.2045407,,,POI02001TR027263V,진짜 감자전,30,11,N,9,,4,2,2,4221010300
