TRAVEL_ID,VISIT_AREA_ID,TOUR_PHOTO_SEQ,PHOTO_FILE_ID,PHOTO_FILE_NM,PHOTO_FILE_FRMAT,PHOTO_FILE_DT,PHOTO_FILE_SAVE_PATH,PHOTO_FILE_RESOLUTION,PHOTO_FILE_X_COORD,PHOTO_FILE_Y_COORD,VISIT_AREA_NM
f_f000338,2305200004,0,f00033801003p0001,f00033801003p0001.jpg,jpg,2023-05-20 13:05:06,/photo/,4032x3024,127.87280277778,34.940594444444,
f_f000568,2305200004,0,f00056802004p0001,f00056802004p0001.jpg,jpg,2023-05-20 11:55:19,/photo/,4032x3024,128.911575,37.801947222222,
f_f000338,2305200007,0,f00033801006p0001,f00033801006p0001.jpg,jpg,2023-05-20 18:05:16,/photo/,4032x3024,127.98838055556,34.721047222222,
f_f000568,2305200008,0,f00056802008p0001,f00056802008p0001.jpg,jpg,2023-05-20 17:26:15,/photo/,3024x4032,128.87985277778,37.779155555556,
f_f000429,2305210002,0,f00042903003p0001,f00042903003p0001.jpg,jpg,2023-05-21 14:30:23,/photo/,4000x3000,129.13323097222,35.158630972222,
f_f000925,2305220002,0,f00092504003p0001,f00092504003p0001.jpg,jpg,2023-05-22 17:55:14,/photo/,4000x3000,128.6809963,35.230823299722,
f_f001440,2305260002,0,f00144002002p0001,f00144002002p0001.jpg,jpg,2023-05-26 09:26:54,/photo/,4032x2268,129.0100691,35.096543699722,
f_f000889,2305270002,0,f00088902002p0001,f00088902002p0001.jpg,jpg,2023-05-27 12:13:18,/photo/,5312x2988,129.37722222222,36.062222222222,
f_f001336,2305270002,0,f00133602003p0001,f00133602003p0001.jpg,jpg,2023-05-27 14:40:46,/photo/,4032x2268,129.08020379972,35.0598223,
f_f001442,2305270002,0,f00144201002p0001,f00144201002p0001.jpg,jpg,2023-05-27 11:42:40,/photo/,4032x3024,128.71556929972,35.545339099722,
f_f001226,2305270003,0,f00122601003p0001,f00122601003p0001.jpg,jpg,2023-05-27 12:34:05,/photo/,4032x3024,128.59065277778,38.137583333333,
f_f000935,2305280002,0,f00093502003p0001,f00093502003p0001.jpg,jpg,2023-05-28 13:41:08,/photo/,3024x4032,128.66336111111,34.743527777778,
f_f001643,2305280004,0,f00164301099p0001,f00164301099p0001.jpg,jpg,2023-05-29 12:57:10,/photo/,3024x4032,128.59632777778,37.688177777778,
f_f001643,2305290002,0,f00164302003p0001,f00164302003p0001.jpg,jpg,2023-05-29 12:51:06,/photo/,3024x4032,128.59536666667,37.687277777778,
f_f000027,2304290004,0,f00002702005p0001,f00002702005p0001.jpg,jpg,2023-04-29 14:41:55,/photo/,4032x2268,129.0047072,35.100871599722,
f_f001902,2305310005,0,f00190202005p0001,f00190202005p0001.jpg,jpg,2023-05-31 16:11:59,/photo/,4032x3024,129.15847709972,35.1652289,
f_f001184,2306030002,0,f00118402003p0001,f00118402003p0001.jpg,jpg,2023-06-03 13:51:08,/photo/,4032x3024,129.332275,35.787061111111,
f_f001380,2306030002,0,f00138001002p0001,f00138001002p0001.jpg,jpg,2023-06-03 15:20:23,/photo/,4032x3024,128.25575277778,36.441058333333,
f_f002755,2306030003,0,f00275501002p0001,f00275501002p0001.jpg,jpg,2023-06-03 10:21:11,/photo/,4032x3024,129.04771388889,35.629433333333,
f_f001843,2306040002,0,f00184302002p0001,f00184302002p0001.jpg,jpg,2023-06-04 11:55:14,/photo/,1816x4032,127.97009509972,37.6939076,
f_f000655,2306050004,0,f00065502006p0001,f00065502006p0001.jpg,jpg,2023-06-05 14:22:20,/photo/,4032x3024,128.51774722222,36.538033333333,
f_f001074,2306050004,0,f00107401004p0001,f00107401004p0001.jpg,jpg,2023-06-05 16:20:47,/photo/,4032x3024,129.20802222222,35.839927777778,
f_f000655,2306050005,0,f00065502007p0001,f00065502007p0001.jpg,jpg,2023-06-05 17:09:58,/photo/,4032x3024,128.51805277778,36.538761111111,
f_f001131,2306050005,0,f00113102006p0001,f00113102006p0001.jpg,jpg,2023-06-05 17:04:35,/photo/,4032x3024,129.41670277778,36.543258333333,
f_f000655,2306060001,0,f00065503002p0001,f00065503002p0001.jpg,jpg,2023-06-06 10:09:35,/photo/,4032x3024,128.51814444444,36.544827777778,
f_f001131,2306060001,0,f00113103002p0001,f00113103002p0001.jpg,jpg,2023-06-06 11:13:27,/photo/,4032x3024,129.41969444444,36.426019444444,
f_f002730,2306070003,0,f00273001002p0001,f00273001002p0001.jpg,jpg,2023-06-07 10:34:27,/photo/,4032x3024,129.23365833333,35.840727777778,
f_f002600,2306100003,0,f00260002003p0001,f00260002003p0001.jpg,jpg,2023-06-10 09:05:56,/photo/,4000x3000,128.90755809972,37.7878191,
f_f003519,2306190003,0,f00351901003p0001,f00351901003p0001.jpg,jpg,2023-06-19 10:43:01,/photo/,4032x3024,128.5788574,35.872900999722,
f_f003519,2306190004,0,f00351901002p0001,f00351901002p0001.jpg,jpg,2023-06-19 11:38:42,/photo/,4032x3024,128.60708389972,35.861809899722,
f_f003256,2306230004,0,f00325601003p0001,f00325601003p0001.jpg,jpg,2023-06-23 13:40:55,/photo/,4032x2268,129.29583333333,35.549444444444,
f_f004103,2307170007,0,f00410301007p0001,f00410301007p0001.jpg,jpg,2023-07-17 17:55:42,/photo/,4656x3492,127.89193797222,34.727724972222,
f_f004768,2307230002,0,f00476802003p0001,f00476802003p0001.jpg,jpg,2023-07-23 12:28:58,/photo/,4032x3024,128.57672222222,37.278152777778,
f_f004740,2307290006,0,f00474001006p0001,f00474001006p0001.jpg,jpg,2023-07-29 12:34:24,/photo/,2268x4032,129.21846111111,35.834752777778,
f_f004305,2307300002,0,f00430501002p0001,f00430501002p0001.jpg,jpg,2023-07-30 10:58:52,/photo/,4032x3024,129.20970277778,35.835575,
f_f005133,2307300004,0,f00513301004p0001,f00513301004p0001.jpg,jpg,2023-07-30 11:52:27,/photo/,4032x3024,129.17294444444,35.160119444444,
f_f005133,2307300009,0,f00513301009p0001,f00513301009p0001.jpg,jpg,2023-07-30 19:27:39,/photo/,3024x4032,129.13940555556,35.160886111111,
f_f005133,2307310001,0,f00513302002p0001,f00513302002p0001.jpg,jpg,2023-07-31 09:57:01,/photo/,3024x4032,129.11784444444,35.153263888889,
f_f004717,2308050004,0,f00471701003p0001,f00471701003p0001.jpg,jpg,2023-08-05 15:32:13,/photo/,3024x3024,128.6065996,35.8719504,
f_f004657,2308050005,0,f00465701004p0001,f00465701004p0001.jpg,jpg,2023-08-05 16:11:20,/photo/,3024x4032,128.60203519972,38.2120704,
f_f004717,2308050005,0,f00471701004p0001,f00471701004p0001.jpg,jpg,2023-08-05 17:01:14,/photo/,3024x3024,128.6593737,35.8745819,
f_f005823,2308110005,0,f00582301004p0001,f00582301004p0001.jpg,jpg,2023-08-11 15:38:02,/photo/,4032x2268,127.72375555556,37.893244444444,
f_f006526,2308140003,0,f00652602003p0001,f00652602003p0001.jpg,jpg,2023-08-14 13:14:34,/photo/,4032x3024,127.83776,37.4119296,
f_f005385,2308140006,0,f00538501005p0001,f00538501005p0001.jpg,jpg,2023-08-14 17:52:41,/photo/,3024x4032,128.91746388889,37.796494444444,
